"CBSAA","NAME_E.y","housing_chg"
27780,"Johnstown, PA Metro Area",7800
27860,"Jonesboro, AR Metro Area",22000
27900,"Joplin, MO Metro Area",18200
27940,"Juneau, AK Micro Area",31600
27980,"Kahului-Wailuku-Lahaina, HI Metro Area",147700
28020,"Kalamazoo-Portage, MI Metro Area",35500
28060,"Kalispell, MT Micro Area",63100
28100,"Kankakee, IL Metro Area",14100
28140,"Kansas City, MO-KS Metro Area",36500
28180,"Kapaa, HI Micro Area",126300
28260,"Kearney, NE Micro Area",36500
28300,"Keene, NH Micro Area",8900
28340,"Kendallville, IN Micro Area",19400
28380,"Kennett, MO Micro Area",11000
28420,"Kennewick-Richland, WA Metro Area",68300
28500,"Kerrville, TX Micro Area",35700
28540,"Ketchikan, AK Micro Area",47000
28580,"Key West, FL Micro Area",171700
28620,"Kill Devil Hills, NC Micro Area",28600
28660,"Killeen-Temple, TX Metro Area",26700
28700,"Kingsport-Bristol, TN-VA Metro Area",21600
28740,"Kingston, NY Metro Area",16600
28780,"Kingsville, TX Micro Area",17600
28820,"Kinston, NC Micro Area",1500
28860,"Kirksville, MO Micro Area",14000
28900,"Klamath Falls, OR Micro Area",37200
28940,"Knoxville, TN Metro Area",29900
29020,"Kokomo, IN Metro Area",18200
29060,"Laconia, NH Micro Area",12400
29100,"La Crosse-Onalaska, WI-MN Metro Area",26100
29180,"Lafayette, LA Metro Area",30300
29200,"Lafayette-West Lafayette, IN Metro Area",24400
29260,"La Grande, OR Micro Area",35000
29300,"LaGrange, GA-AL Micro Area",8000
29340,"Lake Charles, LA Metro Area",35900
29380,"Lake City, FL Micro Area",25300
29420,"Lake Havasu City-Kingman, AZ Metro Area",48900
29460,"Lakeland-Winter Haven, FL Metro Area",55100
29500,"Lamesa, TX Micro Area",18000
29540,"Lancaster, PA Metro Area",29500
29620,"Lansing-East Lansing, MI Metro Area",23200
29660,"Laramie, WY Micro Area",27400
29700,"Laredo, TX Metro Area",25500
29740,"Las Cruces, NM Metro Area",15500
29780,"Las Vegas, NM Micro Area",3400
29820,"Las Vegas-Henderson-Paradise, NV Metro Area",114700
29860,"Laurel, MS Micro Area",16400
29900,"Laurinburg, NC Micro Area",8500
29940,"Lawrence, KS Metro Area",32600
29980,"Lawrenceburg, TN Micro Area",19900
30020,"Lawton, OK Metro Area",8100
30060,"Lebanon, MO Micro Area",13200
30140,"Lebanon, PA Metro Area",12200
30220,"Levelland, TX Micro Area",11300
30260,"Lewisburg, PA Micro Area",28200
30280,"Lewisburg, TN Micro Area",47600
30300,"Lewiston, ID-WA Metro Area",38200
30340,"Lewiston-Auburn, ME Metro Area",15500
30380,"Lewistown, PA Micro Area",17600
30420,"Lexington, NE Micro Area",28200
30460,"Lexington-Fayette, KY Metro Area",28900
30580,"Liberal, KS Micro Area",24100
30620,"Lima, OH Metro Area",14900
30660,"Lincoln, IL Micro Area",8700
30700,"Lincoln, NE Metro Area",36100
30780,"Little Rock-North Little Rock-Conway, AR Metro Area",18900
30820,"Lock Haven, PA Micro Area",28300
30860,"Logan, UT-ID Metro Area",64400
30900,"Logansport, IN Micro Area",9100
30940,"London, KY Micro Area",15900
30980,"Longview, TX Metro Area",29800
31020,"Longview, WA Metro Area",70200
31060,"Los Alamos, NM Micro Area",48000
31080,"Los Angeles-Long Beach-Anaheim, CA Metro Area",171000
31140,"Louisville/Jefferson County, KY-IN Metro Area",28500
31180,"Lubbock, TX Metro Area",36300
31220,"Ludington, MI Micro Area",31500
31260,"Lufkin, TX Micro Area",23400
31300,"Lumberton, NC Micro Area",5400
31340,"Lynchburg, VA Metro Area",11000
31380,"Macomb, IL Micro Area",1800
31420,"Macon-Bibb County, GA Metro Area",13800
31460,"Madera, CA Metro Area",78800
31500,"Madison, IN Micro Area",26900
31540,"Madison, WI Metro Area",41400
31580,"Madisonville, KY Micro Area",17600
31620,"Magnolia, AR Micro Area",8700
31660,"Malone, NY Micro Area",9000
31680,"Malvern, AR Micro Area",19100
31700,"Manchester-Nashua, NH Metro Area",42200
31740,"Manhattan, KS Metro Area",6700
31820,"Manitowoc, WI Micro Area",6500
31860,"Mankato, MN Metro Area",32600
31900,"Mansfield, OH Metro Area",12600
31930,"Marietta, OH Micro Area",31400
31940,"Marinette, WI-MI Micro Area",17500
31980,"Marion, IN Micro Area",13500
32000,"Marion, NC Micro Area",31000
32020,"Marion, OH Micro Area",9400
32100,"Marquette, MI Micro Area",22800
32140,"Marshall, MN Micro Area",19000
32180,"Marshall, MO Micro Area",24900
32260,"Marshalltown, IA Micro Area",-100
32280,"Martin, TN Micro Area",3800
32300,"Martinsville, VA Micro Area",700
32340,"Maryville, MO Micro Area",12100
32380,"Mason City, IA Micro Area",13800
32420,"Mayagüez, PR Metro Area",-5600
32460,"Mayfield, KY Micro Area",16100
32500,"Maysville, KY Micro Area",43100
32540,"McAlester, OK Micro Area",14500
32580,"McAllen-Edinburg-Mission, TX Metro Area",10800
32620,"McComb, MS Micro Area",15800
32660,"McMinnville, TN Micro Area",19300
32700,"McPherson, KS Micro Area",21800
32740,"Meadville, PA Micro Area",12600
32780,"Medford, OR Metro Area",76400
32820,"Memphis, TN-MS-AR Metro Area",28000
32860,"Menomonie, WI Micro Area",18800
32900,"Merced, CA Metro Area",107600
32940,"Meridian, MS Micro Area",9800
33020,"Mexico, MO Micro Area",-2700
33060,"Miami, OK Micro Area",5500
33100,"Miami-Fort Lauderdale-Pompano Beach, FL Metro Area",100500
33140,"Michigan City-La Porte, IN Metro Area",16600
33180,"Middlesborough, KY Micro Area",2400
33220,"Midland, MI Metro Area",14700
33260,"Midland, TX Metro Area",66300
33300,"Milledgeville, GA Micro Area",28200
33340,"Milwaukee-Waukesha, WI Metro Area",30100
33420,"Mineral Wells, TX Micro Area",32900
33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",57700
33500,"Minot, ND Micro Area",28500
33540,"Missoula, MT Metro Area",62500
33580,"Mitchell, SD Micro Area",21400
33620,"Moberly, MO Micro Area",23100
33660,"Mobile, AL Metro Area",14800
33700,"Modesto, CA Metro Area",123300
33740,"Monroe, LA Metro Area",16600
33780,"Monroe, MI Metro Area",30200
33860,"Montgomery, AL Metro Area",15500
33940,"Montrose, CO Micro Area",69500
33980,"Morehead City, NC Micro Area",29900
34020,"Morgan City, LA Micro Area",12900
34060,"Morgantown, WV Metro Area",31300
34100,"Morristown, TN Metro Area",17000
34140,"Moscow, ID Micro Area",54100
34180,"Moses Lake, WA Micro Area",34100
34220,"Moultrie, GA Micro Area",13000
34260,"Mountain Home, AR Micro Area",14100
34300,"Mountain Home, ID Micro Area",29100
34340,"Mount Airy, NC Micro Area",14200
34380,"Mount Pleasant, MI Micro Area",14400
34420,"Mount Pleasant, TX Micro Area",5600
34460,"Mount Sterling, KY Micro Area",11200
34500,"Mount Vernon, IL Micro Area",9800
34540,"Mount Vernon, OH Micro Area",30200
34580,"Mount Vernon-Anacortes, WA Metro Area",91800
34620,"Muncie, IN Metro Area",8900
34660,"Murray, KY Micro Area",21300
34700,"Muscatine, IA Micro Area",8500
34740,"Muskegon, MI Metro Area",27400
34780,"Muskogee, OK Micro Area",17800
34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area",30600
34860,"Nacogdoches, TX Micro Area",26900
34900,"Napa, CA Metro Area",200100
34940,"Naples-Marco Island, FL Metro Area",93800
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",88200
35020,"Natchez, MS-LA Micro Area",11300
35060,"Natchitoches, LA Micro Area",46400
35100,"New Bern, NC Metro Area",6500
35140,"Newberry, SC Micro Area",17700
35220,"New Castle, IN Micro Area",10200
35260,"New Castle, PA Micro Area",15900
35300,"New Haven-Milford, CT Metro Area",7100
35380,"New Orleans-Metairie, LA Metro Area",29500
35420,"New Philadelphia-Dover, OH Micro Area",25600
35440,"Newport, OR Micro Area",46700
35460,"Newport, TN Micro Area",13100
35580,"New Ulm, MN Micro Area",18500
35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",66600
35660,"Niles, MI Metro Area",24900
35700,"Nogales, AZ Micro Area",15700
35740,"Norfolk, NE Micro Area",36500
35820,"North Platte, NE Micro Area",37500
35840,"North Port-Sarasota-Bradenton, FL Metro Area",86000
35860,"North Vernon, IN Micro Area",15600
35900,"North Wilkesboro, NC Micro Area",14400
35940,"Norwalk, OH Micro Area",15500
35980,"Norwich-New London, CT Metro Area",2800
36020,"Oak Harbor, WA Micro Area",92000
36100,"Ocala, FL Metro Area",40700
36140,"Ocean City, NJ Metro Area",6500
36220,"Odessa, TX Metro Area",44700
36260,"Ogden-Clearfield, UT Metro Area",85200
36300,"Ogdensburg-Massena, NY Micro Area",9400
36340,"Oil City, PA Micro Area",15600
36380,"Okeechobee, FL Micro Area",22700
36420,"Oklahoma City, OK Metro Area",25400
36460,"Olean, NY Micro Area",5600
36500,"Olympia-Lacey-Tumwater, WA Metro Area",76200
36540,"Omaha-Council Bluffs, NE-IA Metro Area",33000
36580,"Oneonta, NY Micro Area",7900
36620,"Ontario, OR-ID Micro Area",36900
36660,"Opelousas, LA Micro Area",32100
36700,"Orangeburg, SC Micro Area",4100
36740,"Orlando-Kissimmee-Sanford, FL Metro Area",84200
36780,"Oshkosh-Neenah, WI Metro Area",15300
36820,"Oskaloosa, IA Micro Area",6900
36830,"Othello, WA Micro Area",21200
36840,"Ottawa, KS Micro Area",15600
36900,"Ottumwa, IA Micro Area",4300
36940,"Owatonna, MN Micro Area",22900
