GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,ADRWE001,NAME_M,ADRWM001
"G25540","2011-2015","US",,,,,,,,,,,,,,,,"Hartford-West Hartford-East Hartford, CT Metro Area","25540",,,,,,,,,,,,,,,,,"31000US25540",,,"Hartford-West Hartford-East Hartford, CT Metro Area",245000,"Hartford-West Hartford-East Hartford, CT Metro Area",1247
"G25580","2011-2015","US",,,,,,,,,,,,,,,,"Hastings, NE Micro Area","25580",,,,,,,,,,,,,,,,,"31000US25580",,,"Hastings, NE Micro Area",104300,"Hastings, NE Micro Area",3901
"G25620","2011-2015","US",,,,,,,,,,,,,,,,"Hattiesburg, MS Metro Area","25620",,,,,,,,,,,,,,,,,"31000US25620",,,"Hattiesburg, MS Metro Area",131800,"Hattiesburg, MS Metro Area",5082
"G25700","2011-2015","US",,,,,,,,,,,,,,,,"Hays, KS Micro Area","25700",,,,,,,,,,,,,,,,,"31000US25700",,,"Hays, KS Micro Area",150200,"Hays, KS Micro Area",5139
"G25720","2011-2015","US",,,,,,,,,,,,,,,,"Heber, UT Micro Area","25720",,,,,,,,,,,,,,,,,"31000US25720",,,"Heber, UT Micro Area",316800,"Heber, UT Micro Area",14440
"G25740","2011-2015","US",,,,,,,,,,,,,,,,"Helena, MT Micro Area","25740",,,,,,,,,,,,,,,,,"31000US25740",,,"Helena, MT Micro Area",212100,"Helena, MT Micro Area",3970
"G25760","2011-2015","US",,,,,,,,,,,,,,,,"Helena-West Helena, AR Micro Area","25760",,,,,,,,,,,,,,,,,"31000US25760",,,"Helena-West Helena, AR Micro Area",61200,"Helena-West Helena, AR Micro Area",6290
"G25780","2011-2015","US",,,,,,,,,,,,,,,,"Henderson, NC Micro Area","25780",,,,,,,,,,,,,,,,,"31000US25780",,,"Henderson, NC Micro Area",97900,"Henderson, NC Micro Area",4637
"G25820","2011-2015","US",,,,,,,,,,,,,,,,"Hereford, TX Micro Area","25820",,,,,,,,,,,,,,,,,"31000US25820",,,"Hereford, TX Micro Area",86700,"Hereford, TX Micro Area",4306
"G25840","2011-2015","US",,,,,,,,,,,,,,,,"Hermiston-Pendleton, OR Micro Area","25840",,,,,,,,,,,,,,,,,"31000US25840",,,"Hermiston-Pendleton, OR Micro Area",141300,"Hermiston-Pendleton, OR Micro Area",3603
