GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATEA,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,JTIE001,NAME_M,JTIM001
"G42340","2006-2010","US",,,,,,,,,,,,,,,,"Savannah, GA Metro Area","42340",,,,,,,,,,,,,,,,"31000US42340",,,"Savannah, GA Metro Area",173100,"Savannah, GA Metro Area",2590
"G42380","2006-2010","US",,,,,,,,,,,,,,,,"Sayre, PA Micro Area","42380",,,,,,,,,,,,,,,,"31000US42380",,,"Sayre, PA Micro Area",101700,"Sayre, PA Micro Area",2515
"G42420","2006-2010","US",,,,,,,,,,,,,,,,"Scottsbluff, NE Micro Area","42420",,,,,,,,,,,,,,,,"31000US42420",,,"Scottsbluff, NE Micro Area",95800,"Scottsbluff, NE Micro Area",2224
"G42460","2006-2010","US",,,,,,,,,,,,,,,,"Scottsboro, AL Micro Area","42460",,,,,,,,,,,,,,,,"31000US42460",,,"Scottsboro, AL Micro Area",86300,"Scottsboro, AL Micro Area",2828
"G42500","2006-2010","US",,,,,,,,,,,,,,,,"Scottsburg, IN Micro Area","42500",,,,,,,,,,,,,,,,"31000US42500",,,"Scottsburg, IN Micro Area",96600,"Scottsburg, IN Micro Area",4454
"G42540","2006-2010","US",,,,,,,,,,,,,,,,"Scranton--Wilkes-Barre, PA Metro Area","42540",,,,,,,,,,,,,,,,"31000US42540",,,"Scranton--Wilkes-Barre, PA Metro Area",122300,"Scranton--Wilkes-Barre, PA Metro Area",1160
"G42580","2006-2010","US",,,,,,,,,,,,,,,,"Seaford, DE Micro Area","42580",,,,,,,,,,,,,,,,"31000US42580",,,"Seaford, DE Micro Area",243700,"Seaford, DE Micro Area",3512
"G42620","2006-2010","US",,,,,,,,,,,,,,,,"Searcy, AR Micro Area","42620",,,,,,,,,,,,,,,,"31000US42620",,,"Searcy, AR Micro Area",92700,"Searcy, AR Micro Area",3543
"G42660","2006-2010","US",,,,,,,,,,,,,,,,"Seattle-Tacoma-Bellevue, WA Metro Area","42660",,,,,,,,,,,,,,,,"31000US42660",,,"Seattle-Tacoma-Bellevue, WA Metro Area",358000,"Seattle-Tacoma-Bellevue, WA Metro Area",1087
"G42680","2006-2010","US",,,,,,,,,,,,,,,,"Sebastian-Vero Beach, FL Metro Area","42680",,,,,,,,,,,,,,,,"31000US42680",,,"Sebastian-Vero Beach, FL Metro Area",198200,"Sebastian-Vero Beach, FL Metro Area",4798
