GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,ADRWE001,NAME_M,ADRWM001
"G53003300320053","2011-2015","WA",,,"Washington","53","King County","033",,,"032005","3",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530330320053",,,"Block Group 3, Census Tract 320.05, King County, Washington",190600,"Block Group 3, Census Tract 320.05, King County, Washington",63699
"G53003300320054","2011-2015","WA",,,"Washington","53","King County","033",,,"032005","4",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530330320054",,,"Block Group 4, Census Tract 320.05, King County, Washington",243600,"Block Group 4, Census Tract 320.05, King County, Washington",25937
"G53003300320055","2011-2015","WA",,,"Washington","53","King County","033",,,"032005","5",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530330320055",,,"Block Group 5, Census Tract 320.05, King County, Washington",218800,"Block Group 5, Census Tract 320.05, King County, Washington",15846
"G53003300320056","2011-2015","WA",,,"Washington","53","King County","033",,,"032005","6",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530330320056",,,"Block Group 6, Census Tract 320.05, King County, Washington",242400,"Block Group 6, Census Tract 320.05, King County, Washington",35654
"G53003300320061","2011-2015","WA",,,"Washington","53","King County","033",,,"032006","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530330320061",,,"Block Group 1, Census Tract 320.06, King County, Washington",325900,"Block Group 1, Census Tract 320.06, King County, Washington",26297
"G53003300320062","2011-2015","WA",,,"Washington","53","King County","033",,,"032006","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530330320062",,,"Block Group 2, Census Tract 320.06, King County, Washington",262300,"Block Group 2, Census Tract 320.06, King County, Washington",12520
"G53003300320063","2011-2015","WA",,,"Washington","53","King County","033",,,"032006","3",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530330320063",,,"Block Group 3, Census Tract 320.06, King County, Washington",364600,"Block Group 3, Census Tract 320.06, King County, Washington",14899
"G53003300320071","2011-2015","WA",,,"Washington","53","King County","033",,,"032007","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530330320071",,,"Block Group 1, Census Tract 320.07, King County, Washington",410700,"Block Group 1, Census Tract 320.07, King County, Washington",77723
"G53003300320072","2011-2015","WA",,,"Washington","53","King County","033",,,"032007","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530330320072",,,"Block Group 2, Census Tract 320.07, King County, Washington",311600,"Block Group 2, Census Tract 320.07, King County, Washington",43935
"G53003300320073","2011-2015","WA",,,"Washington","53","King County","033",,,"032007","3",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530330320073",,,"Block Group 3, Census Tract 320.07, King County, Washington",247400,"Block Group 3, Census Tract 320.07, King County, Washington",25039
"G53003300320081","2011-2015","WA",,,"Washington","53","King County","033",,,"032008","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530330320081",,,"Block Group 1, Census Tract 320.08, King County, Washington",342600,"Block Group 1, Census Tract 320.08, King County, Washington",29308
"G53003300320082","2011-2015","WA",,,"Washington","53","King County","033",,,"032008","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530330320082",,,"Block Group 2, Census Tract 320.08, King County, Washington",226700,"Block Group 2, Census Tract 320.08, King County, Washington",13710
"G53003300320083","2011-2015","WA",,,"Washington","53","King County","033",,,"032008","3",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530330320083",,,"Block Group 3, Census Tract 320.08, King County, Washington",236300,"Block Group 3, Census Tract 320.08, King County, Washington",21848
"G53003300320101","2011-2015","WA",,,"Washington","53","King County","033",,,"032010","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530330320101",,,"Block Group 1, Census Tract 320.10, King County, Washington",226900,"Block Group 1, Census Tract 320.10, King County, Washington",51450
"G53003300320102","2011-2015","WA",,,"Washington","53","King County","033",,,"032010","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530330320102",,,"Block Group 2, Census Tract 320.10, King County, Washington",297900,"Block Group 2, Census Tract 320.10, King County, Washington",33794
"G53003300320103","2011-2015","WA",,,"Washington","53","King County","033",,,"032010","3",,,,,,,,,,,,,,,,,,,,,,,,,"15000US530330320103",,,"Block Group 3, Census Tract 320.10, King County, Washington",377500,"Block Group 3, Census Tract 320.10, King County, Washington",57774
